"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","695","689","33","1"
"05-09","816","882","15","0"
"10-14","838","1.030","21","0"
"15-19","1.220","1.281","35","0"
"20-24","1.557","1.582","74","0"
"25-29","1.443","1.458","87","0"
"30-34","1.417","1.580","103","2"
"35-39","1.342","1.419","121","2"
"40-44","1.389","1.287","130","1"
"45-49","1.337","1.205","149","3"
"50-54","1.458","1.532","195","9"
"55-59","1.385","1.414","230","20"
"60-64","856","983","231","23"
"65-69","488","568","214","40"
"70-74","494","499","276","71"
"75-79","524","471","348","120"
"80-84","806","522","496","220"
"85-89","642","316","328","195"
"90+","678","193","231","210"

"Datenstand 09.06.2021 18:36:36"
