"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.774,42","5.609","+26","537","+2","196",""
"Segeberg","SE","1.424,01","3.947","+16","175","+2","87",""
"Stormarn","OD","1.403,61","3.427","+39","315","","116",""
"Herzogtum Lauenburg","RZ","1.542,28","3.054","+5","206","+2","69",""
"Lübeck","HL","1.306,05","2.828","+32","252","","69",""
"Kiel","KI","1.076,61","2.657","+14","224","+3","53",""
"Rendsburg-Eckernförde","RD","779,65","2.137","+13","176","+1","28",""
"Ostholstein","OH","1.033,22","2.072","+17","220","+1","63",""
"Schleswig-Flensburg","SL","935,59","1.882","+7","76","","26",""
"Flensburg","FL","1.922,05","1.733","+5","106","","29",""
"Nordfriesland","NF","978,00","1.623","+8","200","","50",""
"Steinburg","IZ","1.030,43","1.350","+15","97","+4","14","+1"
"Neumünster","NMS","1.330,49","1.067","+30","81","","9","+1"
"Dithmarschen","HEI","700,49","933","+11","79","+2","11",""
"Plön","PLO","555,62","715","+7","91","+2","15",""
"-"
"Schleswig-Holstein","SH","1.206,50","35.034","+245","2.835","+19","835","+2"

"Datenstand 06.05.2021 18:38:59"
