"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","778","765","42","1"
"05-09","984","1.037","20","0"
"10-14","1.066","1.250","23","0"
"15-19","1.472","1.527","41","0"
"20-24","1.778","1.840","90","0"
"25-29","1.608","1.640","101","0"
"30-34","1.563","1.723","120","2"
"35-39","1.507","1.559","141","2"
"40-44","1.547","1.405","156","1"
"45-49","1.440","1.317","160","3"
"50-54","1.538","1.626","210","15"
"55-59","1.457","1.494","257","22"
"60-64","904","1.038","246","25"
"65-69","514","593","233","42"
"70-74","506","512","295","75"
"75-79","531","478","361","121"
"80-84","818","534","511","224"
"85-89","652","320","341","198"
"90+","689","195","238","214"

"Datenstand 11.08.2021 19:08:28"
