"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.316,65","7.323","+25","717","-1","230",""
"Segeberg","SE","1.821,59","5.049","+11","394","+5","95","+1"
"Stormarn","OD","1.837,76","4.487","+23","404","+1","133",""
"Kiel","KI","1.733,83","4.279","+36","324","+2","63",""
"Herzogtum Lauenburg","RZ","2.026,07","4.012","+23","272","+1","75",""
"Lübeck","HL","1.821,92","3.945","+21","287","","75",""
"Rendsburg-Eckernförde","RD","1.029,92","2.823","+19","214","+1","36",""
"Ostholstein","OH","1.263,59","2.534","+9","246","","67",""
"Schleswig-Flensburg","SL","1.123,01","2.259","+5","95","","31",""
"Nordfriesland","NF","1.316,05","2.184","+5","231","","55",""
"Flensburg","FL","2.407,83","2.171","+4","121","+1","29",""
"Steinburg","IZ","1.405,20","1.841","+12","155","","22",""
"Neumünster","NMS","1.937,75","1.554","+6","105","","9",""
"Dithmarschen","HEI","1.055,61","1.406","+7","112","","20",""
"Plön","PLO","838,48","1.079","+2","125","","19",""
"-"
"Schleswig-Holstein","SH","1.616,72","46.946","+208","3.802","+10","959","+1"

"Datenstand 02.09.2021 19:04:16"
