"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","1.030","1.078","56","1"
"05-09","1.553","1.617","32","0"
"10-14","1.771","1.955","39","0"
"15-19","1.966","2.069","56","0"
"20-24","2.251","2.385","118","0"
"25-29","2.113","2.172","153","0"
"30-34","2.059","2.280","179","3"
"35-39","1.976","1.987","196","4"
"40-44","1.979","1.807","191","4"
"45-49","1.798","1.662","187","4"
"50-54","1.883","1.964","266","18"
"55-59","1.727","1.760","306","25"
"60-64","1.069","1.226","290","27"
"65-69","618","703","268","50"
"70-74","584","589","335","82"
"75-79","610","538","400","130"
"80-84","912","602","569","233"
"85-89","739","351","370","211"
"90+","774","216","261","224"

"Datenstand 22.10.2021 19:03:24"
