"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","56","58","6","0"
"05-09","65","62","3","0"
"10-14","87","91","4","0"
"15-19","154","134","5","0"
"20-24","239","262","9","0"
"25-29","242","259","18","0"
"30-34","215","225","20","0"
"35-39","193","180","10","1"
"40-44","183","175","19","0"
"45-49","187","205","26","3"
"50-54","266","253","34","0"
"55-59","237","263","52","6"
"60-64","149","149","47","8"
"65-69","90","102","52","10"
"70-74","87","82","52","18"
"75-79","120","88","95","27"
"80-84","116","108","109","37"
"85-89","76","39","54","26"
"90+","73","24","29","27"

"Datenstand 16.10.2020 19:39:57"
