"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","702","700","35","1"
"05-09","828","888","15","0"
"10-14","853","1.049","21","0"
"15-19","1.234","1.293","36","0"
"20-24","1.565","1.603","80","0"
"25-29","1.466","1.472","93","0"
"30-34","1.434","1.597","109","2"
"35-39","1.355","1.425","123","2"
"40-44","1.401","1.297","136","1"
"45-49","1.346","1.215","151","3"
"50-54","1.464","1.540","199","11"
"55-59","1.393","1.422","242","21"
"60-64","860","991","234","24"
"65-69","490","570","220","40"
"70-74","500","502","291","72"
"75-79","524","472","353","121"
"80-84","807","524","504","222"
"85-89","643","316","334","197"
"90+","678","194","233","211"

"Datenstand 24.06.2021 18:51:26"
