"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","1.037","1.089","56","1"
"05-09","1.561","1.629","32","0"
"10-14","1.777","1.971","39","0"
"15-19","1.976","2.076","56","0"
"20-24","2.263","2.398","118","0"
"25-29","2.123","2.179","154","0"
"30-34","2.070","2.293","179","3"
"35-39","1.984","1.991","196","4"
"40-44","1.985","1.813","192","4"
"45-49","1.804","1.667","187","4"
"50-54","1.894","1.968","266","18"
"55-59","1.729","1.766","306","25"
"60-64","1.073","1.231","290","27"
"65-69","620","707","268","50"
"70-74","585","592","335","82"
"75-79","612","542","401","130"
"80-84","916","606","570","233"
"85-89","742","352","370","211"
"90+","776","216","263","224"

"Datenstand 23.10.2021 19:31:31"
