"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.281,53","7.212","+10","710","+1","229",""
"Segeberg","SE","1.798,14","4.984","+22","385","+1","94",""
"Stormarn","OD","1.798,44","4.391","","400","","133",""
"Kiel","KI","1.678,32","4.142","+18","313","+2","63","+1"
"Herzogtum Lauenburg","RZ","1.975,06","3.911","","272","","75",""
"Lübeck","HL","1.772,04","3.837","","286","","75",""
"Rendsburg-Eckernförde","RD","1.010,59","2.770","","211","","36",""
"Ostholstein","OH","1.245,14","2.497","+1","245","","67",""
"Schleswig-Flensburg","SL","1.112,57","2.238","","94","","31",""
"Nordfriesland","NF","1.297,97","2.154","+9","231","+2","55",""
"Flensburg","FL","2.354,60","2.123","+7","120","","29",""
"Steinburg","IZ","1.372,38","1.798","+7","151","","21",""
"Neumünster","NMS","1.881,64","1.509","+2","104","","9",""
"Dithmarschen","HEI","1.008,31","1.343","+4","107","","20",""
"Plön","PLO","822,16","1.058","","123","","19",""
"-"
"Schleswig-Holstein","SH","1.583,01","45.967","+80","3.752","+6","956","+1"

"Datenstand 29.08.2021 18:47:59"
