"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.194,69","3.756","+343","326","+25","72","+4"
"Stormarn","OD","1.116,38","2.715","+80","140","+6","70","+1"
"Lübeck","HL","1.057,56","2.297","+78","73","","16","+1"
"Segeberg","SE","826,35","2.281","","132","","45",""
"Kiel","KI","837,41","2.073","+79","205","+2","32","+2"
"Herzogtum Lauenburg","RZ","771,05","1.521","+29","89","","26",""
"Rendsburg-Eckernförde","RD","552,47","1.507","+50","120","","17",""
"Ostholstein","OH","474,12","951","+31","68","+5","8","+2"
"Nordfriesland","NF","531,10","879","+11","59","+1","9","+2"
"Dithmarschen","HEI","651,60","868","+14","85","","16",""
"Steinburg","IZ","561,87","738","+21","52","","6",""
"Schleswig-Flensburg","SL","336,96","674","+16","52","+3","7",""
"Neumünster","NMS","803,91","639","+4","36","","9","+1"
"Plön","PLO","377,00","485","+10","68","","9",""
"Flensburg","FL","491,60","440","+10","26","+1","6","+2"
"-"
"Schleswig-Holstein","SH","753,41","21.824","+776","1.531","+43","348","+15"

"Datenstand 22.12.2020 20:38:50"
