"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.340,06","7.397","+42","717","","230",""
"Segeberg","SE","1.835,66","5.088","+14","392","","95",""
"Stormarn","OD","1.848,00","4.512","+25","407","+3","133",""
"Kiel","KI","1.766,25","4.359","+31","326","","63",""
"Herzogtum Lauenburg","RZ","2.043,24","4.046","+19","273","","76",""
"Lübeck","HL","1.839,01","3.982","+21","287","","75",""
"Rendsburg-Eckernförde","RD","1.040,87","2.853","+19","214","","36",""
"Ostholstein","OH","1.274,57","2.556","+10","248","","67",""
"Schleswig-Flensburg","SL","1.128,97","2.271","+5","95","","31",""
"Nordfriesland","NF","1.328,71","2.205","+15","231","","55",""
"Flensburg","FL","2.432,23","2.193","+9","121","","29",""
"Steinburg","IZ","1.422,00","1.863","+11","156","","22",""
"Neumünster","NMS","1.947,73","1.562","+8","106","+1","9",""
"Dithmarschen","HEI","1.074,38","1.431","+11","115","+2","20",""
"Plön","PLO","842,36","1.084","","125","","19",""
"-"
"Schleswig-Holstein","SH","1.632,43","47.402","+240","3.813","+6","960",""

"Datenstand 04.09.2021 18:47:33"
