"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.781,70","5.632","+23","540","+3","196",""
"Segeberg","SE","1.429,78","3.963","+16","177","+2","87",""
"Stormarn","OD","1.413,03","3.450","+23","317","+2","116",""
"Herzogtum Lauenburg","RZ","1.553,39","3.076","+22","206","","69",""
"Lübeck","HL","1.317,14","2.852","+24","253","+1","70","+1"
"Kiel","KI","1.091,60","2.694","+37","226","+2","53",""
"Rendsburg-Eckernförde","RD","783,66","2.148","+11","176","","28",""
"Ostholstein","OH","1.038,70","2.083","+11","220","","63",""
"Schleswig-Flensburg","SL","940,07","1.891","+9","77","+1","26",""
"Flensburg","FL","1.925,38","1.736","+3","106","","29",""
"Nordfriesland","NF","982,22","1.630","+7","204","+4","51","+1"
"Steinburg","IZ","1.044,93","1.369","+19","98","+1","14",""
"Neumünster","NMS","1.334,23","1.070","+3","82","+1","9",""
"Dithmarschen","HEI","702,74","936","+3","79","","11",""
"Plön","PLO","561,83","723","+8","92","+1","15",""
"-"
"Schleswig-Holstein","SH","1.214,04","35.253","+219","2.853","+18","837","+2"

"Datenstand 07.05.2021 18:33:10"
