"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","366,10","1.151","+73","157","+5","47",""
"Stormarn","OD","356,09","866","+44","62","","35",""
"Segeberg","SE","248,88","687","+29","54","+1","7",""
"Kiel","KI","229,85","569","+10","86","+1","12",""
"Rendsburg-Eckernförde","RD","170,10","464","+10","62","","14",""
"Herzogtum Lauenburg","RZ","226,60","447","+10","53","","18",""
"Lübeck","HL","188,77","410","+1","17","","2",""
"Dithmarschen","HEI","255,24","340","+15","50","","5",""
"Schleswig-Flensburg","SL","135,48","271","+10","23","","5",""
"Steinburg","IZ","203,28","267","+5","28","","3",""
"Ostholstein","OH","123,64","248","+9","20","","0",""
"Neumünster","NMS","293,13","233","+1","15","","3",""
"Nordfriesland","NF","123,26","204","+11","23","","2",""
"Plön","PLO","149,25","192","","40","","8",""
"Flensburg","FL","191,05","171","+8","9","","3",""
"-"
"Schleswig-Holstein","SH","225,08","6.520","+236","699","+7","164",""

"Datenstand 23.10.2020 20:01:48"
