"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","875","889","49","1"
"05-09","1.182","1.246","25","0"
"10-14","1.340","1.545","27","0"
"15-19","1.681","1.743","49","0"
"20-24","1.977","2.075","99","0"
"25-29","1.812","1.832","116","0"
"30-34","1.753","1.916","140","2"
"35-39","1.672","1.702","154","2"
"40-44","1.712","1.549","170","1"
"45-49","1.549","1.443","168","4"
"50-54","1.647","1.734","232","15"
"55-59","1.522","1.576","271","24"
"60-64","952","1.097","257","25"
"65-69","541","624","241","43"
"70-74","524","529","303","76"
"75-79","545","495","370","123"
"80-84","835","545","526","227"
"85-89","661","326","347","199"
"90+","705","200","247","216"

"Datenstand 01.09.2021 19:30:04"
