"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.378,54","4.334","+148","377","+9","86","+3"
"Stormarn","OD","1.322,80","3.217","+63","159","+2","77","+2"
"Lübeck","HL","1.186,01","2.576","+63","75","+1","19",""
"Segeberg","SE","923,81","2.550","+38","151","+3","55","+3"
"Kiel","KI","924,27","2.288","+28","232","+3","35","+1"
"Herzogtum Lauenburg","RZ","880,04","1.736","+29","96","","27",""
"Rendsburg-Eckernförde","RD","610,76","1.666","+38","138","+2","19",""
"Ostholstein","OH","540,93","1.085","+17","75","+1","12",""
"Nordfriesland","NF","573,39","949","+16","71","","20","+1"
"Dithmarschen","HEI","710,16","946","+29","97","+5","25","+2"
"Schleswig-Flensburg","SL","443,44","887","+14","65","+3","11","+1"
"Steinburg","IZ","651,71","856","+27","74","+1","13",""
"Neumünster","NMS","844,16","671","+7","42","+2","10","+1"
"Plön","PLO","415,09","534","+5","74","","9",""
"Flensburg","FL","545,23","488","+6","31","+1","7",""
"-"
"Schleswig-Holstein","SH","855,56","24.783","+528","1.757","+33","425","+14"

"Datenstand 30.12.2020 20:12:35"
