"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","966","983","52","1"
"05-09","1.377","1.438","26","0"
"10-14","1.557","1.762","32","0"
"15-19","1.824","1.942","52","0"
"20-24","2.125","2.233","108","0"
"25-29","1.959","2.018","137","0"
"30-34","1.905","2.129","163","2"
"35-39","1.810","1.834","180","3"
"40-44","1.833","1.693","183","4"
"45-49","1.675","1.538","177","4"
"50-54","1.743","1.823","249","18"
"55-59","1.604","1.665","292","25"
"60-64","992","1.158","270","26"
"65-69","574","657","256","47"
"70-74","548","548","316","78"
"75-79","565","513","386","126"
"80-84","861","568","543","231"
"85-89","684","337","351","204"
"90+","729","207","253","218"

"Datenstand 24.09.2021 19:43:49"
