"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","487","499","20","1"
"05-09","507","595","9","0"
"10-14","543","649","14","0"
"15-19","887","905","26","0"
"20-24","1.210","1.217","46","0"
"25-29","1.149","1.143","59","0"
"30-34","1.105","1.244","66","1"
"35-39","1.004","1.122","79","0"
"40-44","1.103","982","88","1"
"45-49","1.025","937","96","2"
"50-54","1.163","1.218","127","3"
"55-59","1.127","1.128","154","15"
"60-64","702","794","145","19"
"65-69","412","465","161","33"
"70-74","410","426","213","60"
"75-79","459","412","281","99"
"80-84","742","482","427","191"
"85-89","615","291","282","176"
"90+","652","183","192","188"

"Datenstand 18.04.2021 18:35:08"
