"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","814,91","2.562","+47","245","+3","53",""
"Stormarn","OD","736,03","1.790","+32","101","","58",""
"Segeberg","SE","600,65","1.658","+14","119","+1","35","+2"
"Kiel","KI","524,34","1.298","+31","149","+1","16",""
"Lübeck","HL","577,35","1.254","+51","54","+2","6",""
"Herzogtum Lauenburg","RZ","543,43","1.072","+17","77","+3","24",""
"Rendsburg-Eckernförde","RD","350,47","956","+11","97","","17",""
"Nordfriesland","NF","409,65","678","+6","52","+1","4",""
"Dithmarschen","HEI","461,68","615","+7","69","","14",""
"Ostholstein","OH","305,11","612","+10","42","+1","3",""
"Schleswig-Flensburg","SL","260,97","522","+2","38","","7",""
"Neumünster","NMS","582,49","463","+2","33","","6",""
"Steinburg","IZ","338,80","445","+3","42","","4","+1"
"Plön","PLO","258,07","332","+7","57","","8",""
"Flensburg","FL","360,88","323","+4","17","","3",""
"-"
"Schleswig-Holstein","SH","503,33","14.580","+244","1.192","+12","258","+3"

"Datenstand 01.12.2020 21:04:23"
