"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.303,47","4.098","+57","409","+3","181","+1"
"Segeberg","SE","993,73","2.743","+59","102","+2","76",""
"Stormarn","OD","946,97","2.303","+36","235","+2","104",""
"Lübeck","HL","991,72","2.154","+34","221","","64",""
"Herzogtum Lauenburg","RZ","1.008,80","1.990","+46","162","+2","64",""
"Kiel","KI","649,17","1.607","+17","153","+1","44","+1"
"Schleswig-Flensburg","SL","753,91","1.508","+2","67","+1","23",""
"Flensburg","FL","1.651,32","1.478","+10","95","","28",""
"Rendsburg-Eckernförde","RD","530,47","1.447","+40","130","+3","21",""
"Ostholstein","OH","685,01","1.374","+16","185","+2","58",""
"Nordfriesland","NF","790,90","1.309","+4","179","+1","47",""
"Steinburg","IZ","602,22","791","+26","57","+3","8",""
"Neumünster","NMS","894,49","711","+5","58","","8","+1"
"Dithmarschen","HEI","403,87","538","","45","","9",""
"Plön","PLO","359,90","463","+8","73","","12",""
"-"
"Schleswig-Holstein","SH","846,27","24.514","+360","2.171","+20","747","+3"

"Datenstand 30.03.2021 20:39:10"
