"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","565","581","23","1"
"05-09","624","709","10","0"
"10-14","668","802","15","0"
"15-19","1.015","1.078","29","0"
"20-24","1.338","1.383","55","0"
"25-29","1.269","1.284","66","0"
"30-34","1.235","1.392","80","1"
"35-39","1.159","1.257","92","1"
"40-44","1.228","1.127","104","1"
"45-49","1.147","1.042","115","2"
"50-54","1.300","1.361","145","5"
"55-59","1.236","1.239","178","18"
"60-64","769","874","171","20"
"65-69","442","510","181","34"
"70-74","453","454","230","65"
"75-79","494","439","300","106"
"80-84","764","502","449","195"
"85-89","626","302","286","180"
"90+","662","187","200","194"

"Datenstand 30.04.2021 19:31:01"
