"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","114","112","9","0"
"05-09","154","142","4","0"
"10-14","202","180","5","0"
"15-19","337","326","10","0"
"20-24","430","525","17","0"
"25-29","426","494","29","0"
"30-34","409","419","35","0"
"35-39","383","358","21","2"
"40-44","355","354","23","1"
"45-49","361","369","43","3"
"50-54","462","465","42","0"
"55-59","410","458","72","6"
"60-64","272","281","61","8"
"65-69","147","171","68","10"
"70-74","158","137","74","23"
"75-79","170","135","116","31"
"80-84","194","162","143","51"
"85-89","117","61","73","35"
"90+","110","38","50","38"

"Datenstand 10.11.2020 21:53:24"
