"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","969","986","53","1"
"05-09","1.384","1.442","27","0"
"10-14","1.565","1.767","32","0"
"15-19","1.833","1.945","52","0"
"20-24","2.127","2.237","108","0"
"25-29","1.964","2.022","138","0"
"30-34","1.908","2.131","163","2"
"35-39","1.819","1.841","182","3"
"40-44","1.836","1.695","183","4"
"45-49","1.678","1.543","177","4"
"50-54","1.745","1.826","249","18"
"55-59","1.607","1.668","292","25"
"60-64","994","1.161","272","26"
"65-69","574","660","256","47"
"70-74","548","549","317","78"
"75-79","566","514","386","127"
"80-84","861","568","543","231"
"85-89","684","337","351","204"
"90+","729","207","253","218"

"Datenstand 26.09.2021 18:37:13"
