"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","174,31","548","+84","24","+2","5","+2"
"Segeberg","SE","153,97","425","+25","15","+1","5",""
"Stormarn","OD","137,34","334","+37","4","","1",""
"Lübeck","HL","133,98","291","+34","7","+1","2","+2"
"Herzogtum Lauenburg","RZ","137,89","272","+33","5","+1","0",""
"Kiel","KI","98,97","245","+15","18","+2","3",""
"Rendsburg-Eckernförde","RD","83,95","229","+32","20","+2","0",""
"Ostholstein","OH","108,68","218","+31","30","+1","0",""
"Schleswig-Flensburg","SL","108,49","217","+53","9","+2","2","+1"
"Nordfriesland","NF","78,55","130","+24","19","+6","1",""
"Flensburg","FL","143,01","128","+13","4","","1",""
"Steinburg","IZ","73,85","97","+21","1","","0",""
"Dithmarschen","HEI","59,30","79","+9","9","","1",""
"Neumünster","NMS","96,87","77","+7","2","+1","0",""
"Plön","PLO","50,53","65","+7","15","+5","1",""
"-"
"Schleswig-Holstein","SH","115,82","3.355","+425","182","+24","22","+5"

"Datenstand 09.01.2021 20:44:01"
