"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.527,02","7.988","+44","755","","240",""
"Segeberg","SE","1.955,08","5.419","+11","426","","99",""
"Stormarn","OD","1.988,89","4.856","+12","441","+3","137",""
"Kiel","KI","1.959,93","4.837","+17","360","","66",""
"Herzogtum Lauenburg","RZ","2.169,99","4.297","+3","283","+1","77",""
"Lübeck","HL","1.963,24","4.251","+12","291","-1","75",""
"Rendsburg-Eckernförde","RD","1.175,13","3.221","+5","231","+3","38",""
"Ostholstein","OH","1.346,87","2.701","+4","259","","68",""
"Schleswig-Flensburg","SL","1.187,14","2.388","+8","101","","31",""
"Nordfriesland","NF","1.395,59","2.316","","243","+1","56",""
"Flensburg","FL","2.563,11","2.311","+8","122","","29",""
"Steinburg","IZ","1.505,19","1.972","+13","169","+2","22",""
"Neumünster","NMS","2.189,64","1.756","+4","115","","9",""
"Dithmarschen","HEI","1.207,27","1.608","+2","131","","21",""
"Plön","PLO","947,27","1.219","+3","141","","21",""
"-"
"Schleswig-Holstein","SH","1.761,16","51.140","+146","4.068","+9","989",""

"Datenstand 29.09.2021 19:09:43"
