"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.974,04","6.240","+1","662","","226",""
"Segeberg","SE","1.562,19","4.330","+1","365","","93",""
"Stormarn","OD","1.588,74","3.879","+1","354","","127",""
"Herzogtum Lauenburg","RZ","1.737,21","3.440","","257","+1","73",""
"Lübeck","HL","1.476,93","3.198","+5","261","+1","74",""
"Kiel","KI","1.280,83","3.161","-2","271","","58",""
"Rendsburg-Eckernförde","RD","889,46","2.438","","205","","35",""
"Ostholstein","OH","1.125,97","2.258","","237","","67",""
"Schleswig-Flensburg","SL","989,28","1.990","","88","","31",""
"Nordfriesland","NF","1.094,30","1.816","+1","210","","54",""
"Flensburg","FL","1.973,07","1.779","","110","","29",""
"Steinburg","IZ","1.147,98","1.504","","141","","20",""
"Neumünster","NMS","1.466,41","1.176","+1","89","","9",""
"Dithmarschen","HEI","765,81","1.020","","91","","20",""
"Plön","PLO","637,21","820","+1","107","","18",""
"-"
"Schleswig-Holstein","SH","1.344,77","39.049","+9","3.448","+2","934",""

"Datenstand 12.07.2021 20:26:00"
