"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","195","218","12","0"
"05-09","193","229","3","0"
"10-14","247","286","9","0"
"15-19","471","472","14","0"
"20-24","702","702","24","0"
"25-29","695","660","34","0"
"30-34","632","694","42","0"
"35-39","573","604","47","0"
"40-44","632","504","45","0"
"45-49","658","502","47","1"
"50-54","719","696","75","3"
"55-59","703","648","91","9"
"60-64","439","464","104","10"
"65-69","256","306","117","25"
"70-74","264","295","156","45"
"75-79","351","309","212","76"
"80-84","620","392","339","156"
"85-89","544","245","220","149"
"90+","598","167","164","165"

"Datenstand 03.03.2021 21:08:42"
