"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","702","698","35","1"
"05-09","828","887","15","0"
"10-14","851","1.048","21","0"
"15-19","1.233","1.294","36","0"
"20-24","1.565","1.602","79","0"
"25-29","1.461","1.470","91","0"
"30-34","1.433","1.595","109","2"
"35-39","1.354","1.423","123","2"
"40-44","1.401","1.295","135","1"
"45-49","1.346","1.215","150","3"
"50-54","1.463","1.539","199","11"
"55-59","1.393","1.420","241","21"
"60-64","859","991","234","24"
"65-69","490","570","220","40"
"70-74","499","502","288","72"
"75-79","524","472","353","121"
"80-84","806","524","504","222"
"85-89","642","316","333","196"
"90+","678","193","231","211"

"Datenstand 22.06.2021 18:37:00"
