"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.273,26","4.003","+63","342","+2","74","+2"
"Stormarn","OD","1.178,06","2.865","","146","","71",""
"Lübeck","HL","1.111,89","2.415","+53","73","","16",""
"Segeberg","SE","873,09","2.410","+10","134","","46","+1"
"Kiel","KI","880,23","2.179","+30","215","+4","32",""
"Herzogtum Lauenburg","RZ","813,12","1.604","+12","91","","27",""
"Rendsburg-Eckernförde","RD","578,50","1.578","+3","130","+1","17",""
"Ostholstein","OH","515,00","1.033","+7","73","+1","8",""
"Nordfriesland","NF","549,22","909","","61","+1","11",""
"Dithmarschen","HEI","671,87","895","+6","90","+3","17","+1"
"Steinburg","IZ","603,74","793","+10","60","+1","9",""
"Schleswig-Flensburg","SL","391,45","783","+19","56","+2","7",""
"Neumünster","NMS","817,74","650","+5","37","+1","9",""
"Plön","PLO","393,32","506","+6","70","","9",""
"Flensburg","FL","511,71","458","+5","28","+1","6",""
"-"
"Schleswig-Holstein","SH","796,80","23.081","+229","1.606","+17","359","+4"

"Datenstand 25.12.2020 20:56:17"
