"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.971,19","6.231","+4","661","+1","223",""
"Segeberg","SE","1.560,75","4.326","+1","365","","93",""
"Stormarn","OD","1.587,92","3.877","+3","353","","127",""
"Herzogtum Lauenburg","RZ","1.736,20","3.438","+2","256","","73",""
"Lübeck","HL","1.473,70","3.191","+4","260","","74",""
"Kiel","KI","1.278,39","3.155","+2","270","","58",""
"Rendsburg-Eckernförde","RD","888,00","2.434","+2","205","","35",""
"Ostholstein","OH","1.125,97","2.258","+1","237","","67",""
"Schleswig-Flensburg","SL","987,29","1.986","","88","","31",""
"Nordfriesland","NF","1.091,89","1.812","-1","210","","54",""
"Flensburg","FL","1.968,63","1.775","","110","","29",""
"Steinburg","IZ","1.147,98","1.504","","141","","20",""
"Neumünster","NMS","1.458,93","1.170","+3","89","","9",""
"Dithmarschen","HEI","765,06","1.019","","91","","20",""
"Plön","PLO","635,66","818","+1","107","","18",""
"-"
"Schleswig-Holstein","SH","1.342,87","38.994","+22","3.443","+1","931",""

"Datenstand 08.07.2021 18:32:37"
