"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.267,93","7.169","+20","709","+2","229",""
"Segeberg","SE","1.782,27","4.940","+20","384","","94",""
"Stormarn","OD","1.798,44","4.391","+15","400","+2","133","+4"
"Kiel","KI","1.661,71","4.101","+36","311","+2","62",""
"Herzogtum Lauenburg","RZ","1.970,01","3.901","+18","272","","75",""
"Lübeck","HL","1.756,34","3.803","+29","286","+1","75",""
"Rendsburg-Eckernförde","RD","1.006,57","2.759","+7","210","+1","36",""
"Ostholstein","OH","1.242,15","2.491","+13","245","","67",""
"Schleswig-Flensburg","SL","1.109,59","2.232","+14","94","","31",""
"Nordfriesland","NF","1.288,93","2.139","+13","227","","55","+1"
"Flensburg","FL","2.344,62","2.114","+9","120","","29",""
"Steinburg","IZ","1.355,59","1.776","+6","151","","21",""
"Neumünster","NMS","1.875,41","1.504","+6","104","","9",""
"Dithmarschen","HEI","1.001,55","1.334","+7","107","","20",""
"Plön","PLO","819,05","1.054","+5","123","+1","19",""
"-"
"Schleswig-Holstein","SH","1.574,09","45.708","+218","3.743","+9","955","+5"

"Datenstand 27.08.2021 20:03:20"
