"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","605,93","1.905","+18","202","+1","49",""
"Stormarn","OD","592,94","1.442","+22","72","","47",""
"Segeberg","SE","473,86","1.308","+39","101","+4","29","+1"
"Lübeck","HL","440,15","956","+45","39","+3","4",""
"Kiel","KI","372,05","921","+7","118","+1","16","+1"
"Herzogtum Lauenburg","RZ","422,28","833","+5","63","","21",""
"Rendsburg-Eckernförde","RD","296,21","808","+2","82","+2","16",""
"Nordfriesland","NF","355,27","588","+2","43","+2","3","+1"
"Dithmarschen","HEI","381,35","508","+2","64","","13",""
"Schleswig-Flensburg","SL","242,47","485","+5","37","","6",""
"Ostholstein","OH","230,83","463","+4","30","","1",""
"Steinburg","IZ","281,70","370","+5","36","+1","3",""
"Neumünster","NMS","464,23","369","+3","20","+3","3",""
"Plön","PLO","219,98","283","","53","","8",""
"Flensburg","FL","311,72","279","+2","11","","3",""
"-"
"Schleswig-Holstein","SH","397,62","11.518","+161","971","+17","222","+3"

"Datenstand 15.11.2020 20:18:07"
