"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","301","330","17","0"
"05-09","297","381","5","0"
"10-14","353","416","11","0"
"15-19","624","657","19","0"
"20-24","905","907","29","0"
"25-29","865","852","41","0"
"30-34","829","905","50","1"
"35-39","729","795","63","0"
"40-44","814","691","64","0"
"45-49","799","673","67","2"
"50-54","896","899","96","3"
"55-59","870","848","113","11"
"60-64","527","591","126","17"
"65-69","314","365","133","29"
"70-74","327","345","185","53"
"75-79","388","347","232","86"
"80-84","678","431","393","182"
"85-89","572","265","252","170"
"90+","616","176","180","180"

"Datenstand 24.03.2021 19:00:03"
