"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","1.005","1.038","55","1"
"05-09","1.459","1.524","31","0"
"10-14","1.663","1.856","34","0"
"15-19","1.900","2.002","53","0"
"20-24","2.194","2.323","115","0"
"25-29","2.050","2.113","152","0"
"30-34","1.989","2.204","171","2"
"35-39","1.885","1.904","191","4"
"40-44","1.904","1.750","187","4"
"45-49","1.725","1.599","181","4"
"50-54","1.808","1.892","258","18"
"55-59","1.663","1.712","303","25"
"60-64","1.023","1.184","281","27"
"65-69","599","679","263","50"
"70-74","568","572","325","80"
"75-79","588","525","396","130"
"80-84","886","583","556","231"
"85-89","711","345","363","208"
"90+","746","211","254","221"

"Datenstand 12.10.2021 18:35:26"
