"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","699","698","35","1"
"05-09","827","884","15","0"
"10-14","850","1.046","21","0"
"15-19","1.232","1.292","36","0"
"20-24","1.564","1.599","77","0"
"25-29","1.458","1.469","89","0"
"30-34","1.431","1.591","108","2"
"35-39","1.349","1.423","124","2"
"40-44","1.399","1.292","133","1"
"45-49","1.344","1.214","149","3"
"50-54","1.462","1.537","198","11"
"55-59","1.391","1.418","238","21"
"60-64","859","989","234","24"
"65-69","490","570","220","40"
"70-74","498","501","286","72"
"75-79","524","471","351","121"
"80-84","806","525","504","222"
"85-89","642","316","332","196"
"90+","678","193","231","211"

"Datenstand 18.06.2021 18:56:03"
