"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.054,08","6.493","+11","675","+1","227","+1"
"Segeberg","SE","1.618,83","4.487","+5","372","","94",""
"Stormarn","OD","1.637,07","3.997","+12","363","+2","129",""
"Herzogtum Lauenburg","RZ","1.779,12","3.523","+8","260","","75",""
"Lübeck","HL","1.549,90","3.356","+18","270","","75",""
"Kiel","KI","1.353,36","3.340","+19","278","","59",""
"Rendsburg-Eckernförde","RD","914,64","2.507","+5","206","","35",""
"Ostholstein","OH","1.162,37","2.331","+1","240","","67",""
"Schleswig-Flensburg","SL","1.012,15","2.036","+2","88","","31",""
"Nordfriesland","NF","1.152,75","1.913","+3","218","","54",""
"Flensburg","FL","2.030,74","1.831","+1","111","","29",""
"Steinburg","IZ","1.187,67","1.556","+2","144","","21",""
"Neumünster","NMS","1.552,45","1.245","+12","94","","9",""
"Dithmarschen","HEI","802,59","1.069","+4","93","+1","20",""
"Plön","PLO","661,30","851","+12","109","+1","18",""
"-"
"Schleswig-Holstein","SH","1.395,94","40.535","+115","3.521","+5","943","+1"

"Datenstand 02.08.2021 18:41:56"
