"Datum","Gemeldete Fälle","Hospitalisierungen","Verstorben"
"01.01.2021","137","14","6"
"02.01.2021","261","30","15"
"03.01.2021","202","35","6"
"04.01.2021","260","26","8"
"05.01.2021","538","46","5"
"06.01.2021","535","33","7"
"07.01.2021","480","26","6"
"08.01.2021","523","31","3"
"09.01.2021","408","29","5"
"10.01.2021","143","14","3"
"11.01.2021","261","36","2"
"12.01.2021","400","28","2"
"13.01.2021","491","27","0"
"14.01.2021","422","22","2"
"15.01.2021","408","25","0"

"Datenstand 15.01.2021 20:14:17"
