"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","858,80","2.700","+93","271","+12","114","+5"
"Lübeck","HL","656,08","1.425","+37","167","","32",""
"Segeberg","SE","470,60","1.299","+16","60","+5","53",""
"Stormarn","OD","477,39","1.161","+21","123","","38","+4"
"Herzogtum Lauenburg","RZ","508,96","1.004","+29","57","+3","26","+1"
"Ostholstein","OH","441,22","885","+28","143","","33","+1"
"Nordfriesland","NF","516,59","855","+18","142","+2","31","+2"
"Kiel","KI","339,33","840","+7","98","+1","28",""
"Flensburg","FL","814,49","729","+26","40","+2","16","+1"
"Schleswig-Flensburg","SL","358,96","718","+22","40","+2","15",""
"Rendsburg-Eckernförde","RD","258,45","705","+21","79","+1","13","+1"
"Steinburg","IZ","319,76","420","+8","25","","2",""
"Neumünster","NMS","476,81","379","","34","","6",""
"Dithmarschen","HEI","235,72","314","+4","16","","7","+1"
"Plön","PLO","194,33","250","+5","51","+1","6",""
"-"
"Schleswig-Holstein","SH","472,40","13.684","+335","1.346","+29","420","+16"

"Datenstand 10.02.2021 20:27:29"
