"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","888,07","2.792","+34","261","+4","56",""
"Stormarn","OD","803,06","1.953","+19","110","+5","60","+1"
"Segeberg","SE","651,01","1.797","+27","123","+3","37","+2"
"Kiel","KI","596,25","1.476","+35","160","+6","18",""
"Lübeck","HL","648,26","1.408","+5","56","","7","+1"
"Herzogtum Lauenburg","RZ","598,69","1.181","+5","80","","24",""
"Rendsburg-Eckernförde","RD","391,90","1.069","+13","103","+3","17",""
"Nordfriesland","NF","428,98","710","+10","53","","4",""
"Dithmarschen","HEI","513,47","684","+15","70","","14",""
"Ostholstein","OH","327,05","656","+4","47","+1","3",""
"Schleswig-Flensburg","SL","268,47","537","+1","39","","7",""
"Neumünster","NMS","641,61","510","+2","34","","6",""
"Steinburg","IZ","359,35","472","+4","44","+2","4",""
"Plön","PLO","289,16","372","+8","58","-1","8",""
"Flensburg","FL","376,52","337","+1","18","+1","4",""
"-"
"Schleswig-Holstein","SH","550,76","15.954","+183","1.256","+24","269","+4"

"Datenstand 07.12.2020 20:21:48"
