"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","650","656","30","1"
"05-09","740","826","13","0"
"10-14","792","955","18","0"
"15-19","1.162","1.213","33","0"
"20-24","1.499","1.543","72","0"
"25-29","1.392","1.404","81","0"
"30-34","1.354","1.508","98","1"
"35-39","1.285","1.358","107","2"
"40-44","1.349","1.236","119","1"
"45-49","1.284","1.152","140","2"
"50-54","1.420","1.478","171","6"
"55-59","1.349","1.372","212","20"
"60-64","841","952","206","21"
"65-69","477","551","203","36"
"70-74","481","494","264","69"
"75-79","514","467","336","117"
"80-84","789","516","485","209"
"85-89","631","312","313","189"
"90+","670","190","223","204"

"Datenstand 19.05.2021 19:48:58"
