"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","714","720","39","1"
"05-09","850","907","18","0"
"10-14","883","1.069","21","0"
"15-19","1.300","1.359","39","0"
"20-24","1.641","1.685","83","0"
"25-29","1.511","1.524","94","0"
"30-34","1.461","1.633","114","2"
"35-39","1.387","1.455","127","2"
"40-44","1.427","1.316","141","1"
"45-49","1.370","1.245","155","3"
"50-54","1.487","1.570","202","14"
"55-59","1.418","1.441","243","22"
"60-64","880","1.009","239","25"
"65-69","494","577","223","40"
"70-74","502","505","294","72"
"75-79","526","472","357","121"
"80-84","811","529","506","223"
"85-89","651","318","339","197"
"90+","681","194","236","212"

"Datenstand 24.07.2021 19:53:10"
