"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","120","122","8","0"
"05-09","115","121","1","0"
"10-14","154","163","6","0"
"15-19","318","283","6","0"
"20-24","493","454","14","0"
"25-29","480","420","22","0"
"30-34","403","463","21","0"
"35-39","385","408","30","0"
"40-44","422","298","26","0"
"45-49","457","313","32","1"
"50-54","495","452","45","1"
"55-59","457","423","59","2"
"60-64","308","318","69","5"
"65-69","186","207","76","7"
"70-74","196","224","110","22"
"75-79","266","224","145","45"
"80-84","468","300","239","81"
"85-89","433","189","160","80"
"90+","436","122","116","90"

"Datenstand 04.02.2021 20:04:19"
