"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.986,69","6.280","+2","665","","226",""
"Segeberg","SE","1.572,29","4.358","+4","365","","93",""
"Stormarn","OD","1.596,93","3.899","","355","","127",""
"Herzogtum Lauenburg","RZ","1.744,78","3.455","","258","","73",""
"Lübeck","HL","1.486,63","3.219","","262","","74",""
"Kiel","KI","1.290,55","3.185","+11","271","","58",""
"Rendsburg-Eckernförde","RD","897,12","2.459","","206","","35",""
"Ostholstein","OH","1.135,94","2.278","+1","238","","67",""
"Schleswig-Flensburg","SL","992,76","1.997","+1","88","","31",""
"Nordfriesland","NF","1.104,54","1.833","+9","210","","54",""
"Flensburg","FL","1.977,51","1.783","+2","110","","29",""
"Steinburg","IZ","1.150,27","1.507","","141","","20",""
"Neumünster","NMS","1.487,61","1.193","+2","89","","9",""
"Dithmarschen","HEI","770,31","1.026","+1","91","","20",""
"Plön","PLO","640,32","824","","107","","18",""
"-"
"Schleswig-Holstein","SH","1.353,27","39.296","+33","3.456","","934",""

"Datenstand 18.07.2021 18:34:09"
