"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.672,56","5.287","+36","497","","195",""
"Segeberg","SE","1.345,00","3.728","+11","148","","84",""
"Stormarn","OD","1.276,64","3.117","+10","293","+1","111",""
"Herzogtum Lauenburg","RZ","1.425,12","2.822","","191","","67",""
"Lübeck","HL","1.228,93","2.661","+4","243","","68",""
"Kiel","KI","942,89","2.327","+12","198","+2","50",""
"Rendsburg-Eckernförde","RD","721,27","1.977","+9","160","","28","+1"
"Ostholstein","OH","936,48","1.878","+3","210","","62",""
"Schleswig-Flensburg","SL","887,37","1.785","+3","73","","25",""
"Flensburg","FL","1.852,18","1.670","+1","103","","29",""
"Nordfriesland","NF","917,74","1.523","+12","196","","49",""
"Steinburg","IZ","926,63","1.214","+3","91","","11",""
"Neumünster","NMS","1.163,40","933","+7","71","+1","8",""
"Dithmarschen","HEI","629,91","839","+9","68","+1","9",""
"Plön","PLO","493,45","635","","81","","14",""
"-"
"Schleswig-Holstein","SH","1.115,65","32.396","+120","2.623","+5","810","+1"

"Datenstand 25.04.2021 18:37:37"
