"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.916,78","6.059","","635","","221",""
"Segeberg","SE","1.530,08","4.241","+10","287","","92",""
"Stormarn","OD","1.546,96","3.777","+6","346","","122",""
"Herzogtum Lauenburg","RZ","1.708,93","3.384","+3","244","+1","69",""
"Lübeck","HL","1.445,07","3.129","+5","259","","74",""
"Kiel","KI","1.252,87","3.092","","257","","55",""
"Rendsburg-Eckernförde","RD","875,96","2.401","+8","202","","35",""
"Ostholstein","OH","1.115,49","2.237","","237","","66",""
"Schleswig-Flensburg","SL","981,83","1.975","","86","","30",""
"Nordfriesland","NF","1.076,22","1.786","+4","206","","54",""
"Flensburg","FL","1.960,87","1.768","+2","109","","29",""
"Steinburg","IZ","1.141,11","1.495","","139","","19",""
"Neumünster","NMS","1.427,75","1.145","","86","","9",""
"Dithmarschen","HEI","762,05","1.015","","89","","18",""
"Plön","PLO","626,33","806","","101","","17",""
"-"
"Schleswig-Holstein","SH","1.319,32","38.310","+38","3.283","+1","910",""

"Datenstand 05.06.2021 19:19:16"
