"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","342,89","1.078","","152","","47",""
"Stormarn","OD","338,00","822","+35","62","","35",""
"Segeberg","SE","238,38","658","+13","53","","7",""
"Kiel","KI","225,81","559","+13","85","+2","12",""
"Rendsburg-Eckernförde","RD","166,44","454","+10","62","+3","14",""
"Herzogtum Lauenburg","RZ","221,53","437","","53","","18",""
"Lübeck","HL","188,31","409","+20","17","+1","2","+1"
"Dithmarschen","HEI","243,98","325","+12","50","+2","5",""
"Steinburg","IZ","199,47","262","+4","28","+1","3",""
"Schleswig-Flensburg","SL","130,48","261","+14","23","+1","5",""
"Ostholstein","OH","119,15","239","+2","20","","0",""
"Neumünster","NMS","291,87","232","+3","15","","3",""
"Nordfriesland","NF","116,61","193","+6","23","+1","2",""
"Plön","PLO","149,25","192","+4","40","+1","8",""
"Flensburg","FL","182,11","163","","9","","3",""
"-"
"Schleswig-Holstein","SH","216,94","6.284","+136","692","+12","164","+1"

"Datenstand 22.10.2020 20:01:29"
