"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","955,18","3.003","+99","275","+7","59","+2"
"Stormarn","OD","878,30","2.136","+138","114","+3","63","+3"
"Segeberg","SE","682,89","1.885","+25","127","","39",""
"Kiel","KI","653,61","1.618","+50","168","+2","21",""
"Lübeck","HL","703,05","1.527","+72","67","+3","7",""
"Herzogtum Lauenburg","RZ","642,79","1.268","+22","80","","25","+1"
"Rendsburg-Eckernförde","RD","419,39","1.144","+25","104","","17",""
"Dithmarschen","HEI","548,76","731","+24","81","+3","14",""
"Nordfriesland","NF","434,42","719","+1","53","","4",""
"Ostholstein","OH","344,00","690","+21","49","+1","5","+1"
"Schleswig-Flensburg","SL","278,97","558","+8","39","","7",""
"Neumünster","NMS","696,97","554","+11","35","","6",""
"Steinburg","IZ","380,67","500","+8","46","+1","4",""
"Plön","PLO","315,59","406","+16","59","","8",""
"Flensburg","FL","396,63","355","+9","18","","4",""
"-"
"Schleswig-Holstein","SH","590,12","17.094","+529","1.315","+20","283","+7"

"Datenstand 10.12.2020 21:18:33"
