"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","950","966","51","1"
"05-09","1.337","1.397","26","0"
"10-14","1.510","1.710","31","0"
"15-19","1.807","1.924","52","0"
"20-24","2.096","2.200","106","0"
"25-29","1.940","1.996","136","0"
"30-34","1.879","2.093","159","2"
"35-39","1.787","1.808","174","3"
"40-44","1.810","1.668","182","4"
"45-49","1.649","1.524","175","4"
"50-54","1.732","1.805","243","17"
"55-59","1.594","1.647","287","25"
"60-64","979","1.150","268","26"
"65-69","565","648","254","46"
"70-74","542","542","312","78"
"75-79","560","512","384","126"
"80-84","857","567","540","231"
"85-89","681","337","352","204"
"90+","727","206","252","218"

"Datenstand 20.09.2021 19:19:30"
