"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","545,50","1.715","+28","129","+8","35","+3"
"Segeberg","SE","308,66","852","+22","33","+4","24","+3"
"Stormarn","OD","332,65","809","+11","63","+2","10",""
"Lübeck","HL","348,53","757","+11","56","+18","12","+2"
"Nordfriesland","NF","367,96","609","+24","104","+2","7","+1"
"Herzogtum Lauenburg","RZ","306,70","605","","20","","12",""
"Kiel","KI","241,17","597","+12","66","","18",""
"Ostholstein","OH","255,76","513","+11","79","+3","9",""
"Rendsburg-Eckernförde","RD","181,47","495","+2","49","","3",""
"Flensburg","FL","488,25","437","+6","17","","8",""
"Schleswig-Flensburg","SL","207,47","415","+6","20","+1","7","+1"
"Steinburg","IZ","204,04","268","+2","12","","1",""
"Neumünster","NMS","332,13","264","","21","","1",""
"Dithmarschen","HEI","187,67","250","+4","14","","2",""
"Plön","PLO","132,92","171","+1","35","","4",""
"-"
"Schleswig-Holstein","SH","302,31","8.757","+140","718","+38","153","+10"

"Datenstand 24.01.2021 20:10:25"
