"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","459","480","19","1"
"05-09","473","568","9","0"
"10-14","510","610","14","0"
"15-19","841","852","25","0"
"20-24","1.163","1.180","45","0"
"25-29","1.115","1.097","58","0"
"30-34","1.061","1.192","63","1"
"35-39","965","1.072","78","0"
"40-44","1.066","937","84","1"
"45-49","986","903","91","2"
"50-54","1.127","1.162","119","3"
"55-59","1.085","1.089","148","14"
"60-64","669","768","143","19"
"65-69","395","455","158","32"
"70-74","397","410","211","60"
"75-79","449","398","274","99"
"80-84","731","477","424","191"
"85-89","612","290","280","175"
"90+","647","180","191","187"

"Datenstand 14.04.2021 19:46:28"
