"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","622,16","1.956","+51","208","+6","49",""
"Stormarn","OD","609,80","1.483","+30","74","+2","47",""
"Segeberg","SE","490,52","1.354","+17","103","+2","31",""
"Lübeck","HL","461,33","1.002","+29","42","+1","5",""
"Kiel","KI","389,42","964","+29","126","+2","16",""
"Herzogtum Lauenburg","RZ","435,46","859","+25","64","","22",""
"Rendsburg-Eckernförde","RD","306,48","836","+21","82","","16",""
"Nordfriesland","NF","370,98","614","+21","48","+5","3",""
"Dithmarschen","HEI","389,61","519","+9","65","+1","13",""
"Schleswig-Flensburg","SL","245,47","491","+3","37","","6",""
"Ostholstein","OH","244,79","491","+25","32","+1","1",""
"Neumünster","NMS","500,71","398","+21","25","+2","4",""
"Steinburg","IZ","288,55","379","+9","37","+1","3",""
"Plön","PLO","222,31","286","+3","53","","8",""
"Flensburg","FL","312,84","280","+1","11","","3",""
"-"
"Schleswig-Holstein","SH","411,22","11.912","+294","1.007","+23","227",""

"Datenstand 17.11.2020 20:47:44"
