"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","204","211","13","0"
"05-09","274","287","7","0"
"10-14","384","368","10","0"
"15-19","623","636","19","0"
"20-24","749","832","22","0"
"25-29","710","775","38","0"
"30-34","686","680","53","0"
"35-39","659","632","36","2"
"40-44","645","603","40","1"
"45-49","649","652","69","3"
"50-54","779","812","76","0"
"55-59","681","707","103","8"
"60-64","434","465","98","10"
"65-69","241","285","89","12"
"70-74","253","218","126","30"
"75-79","269","221","162","39"
"80-84","326","241","200","75"
"85-89","222","110","104","59"
"90+","246","60","75","52"

"Datenstand 12.12.2020 20:47:24"
