"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","94","102","8","0"
"05-09","126","115","4","0"
"10-14","160","150","5","0"
"15-19","280","257","9","0"
"20-24","364","429","15","0"
"25-29","368","409","24","0"
"30-34","334","343","28","0"
"35-39","316","296","20","2"
"40-44","295","286","20","1"
"45-49","297","326","37","3"
"50-54","393","393","37","0"
"55-59","349","391","63","6"
"60-64","229","246","58","8"
"65-69","126","148","63","10"
"70-74","128","115","64","22"
"75-79","156","119","111","30"
"80-84","175","146","133","43"
"85-89","102","55","63","30"
"90+","103","32","43","35"

"Datenstand 03.11.2020 21:08:32"
