"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.085,59","3.413","+1","301","","68",""
"Stormarn","OD","1.043,19","2.537","+64","128","+4","69",""
"Segeberg","SE","788,31","2.176","+74","133","+3","43","+1"
"Lübeck","HL","940,16","2.042","+154","73","","12",""
"Kiel","KI","775,61","1.920","+40","195","+7","29","+2"
"Herzogtum Lauenburg","RZ","737,59","1.455","+24","89","+1","26",""
"Rendsburg-Eckernförde","RD","506,64","1.382","+25","117","","17",""
"Ostholstein","OH","423,77","850","+28","56","","6",""
"Nordfriesland","NF","506,32","838","+14","58","","5",""
"Dithmarschen","HEI","629,08","838","+28","85","","15",""
"Steinburg","IZ","507,82","667","+18","52","","5",""
"Schleswig-Flensburg","SL","321,46","643","+12","45","","7",""
"Neumünster","NMS","772,45","614","+7","36","","8",""
"Plön","PLO","359,90","463","+12","66","+2","8",""
"Flensburg","FL","459,20","411","+7","20","+1","4",""
"-"
"Schleswig-Holstein","SH","699,03","20.249","+508","1.454","+18","322","+3"

"Datenstand 18.12.2020 20:08:31"
