"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","51","54","6","0"
"05-09","60","60","3","0"
"10-14","81","82","4","0"
"15-19","142","126","5","0"
"20-24","227","245","9","0"
"25-29","231","236","18","0"
"30-34","198","208","18","0"
"35-39","179","162","10","0"
"40-44","173","164","19","0"
"45-49","173","191","26","3"
"50-54","251","239","31","0"
"55-59","222","242","49","6"
"60-64","139","142","47","8"
"65-69","87","99","52","10"
"70-74","84","78","51","18"
"75-79","115","86","92","27"
"80-84","111","106","109","37"
"85-89","76","37","53","26"
"90+","73","24","29","27"

"Datenstand 11.10.2020 20:27:29"
