"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","17","16","2","0"
"05-09","15","13","0","0"
"10-14","29","27","1","0"
"15-19","56","60","0","0"
"20-24","112","95","1","0"
"25-29","111","85","3","0"
"30-34","83","92","6","0"
"35-39","65","82","9","0"
"40-44","91","63","1","0"
"45-49","82","67","1","0"
"50-54","102","90","6","0"
"55-59","99","88","8","0"
"60-64","63","58","8","0"
"65-69","37","41","5","0"
"70-74","36","46","14","0"
"75-79","48","56","16","4"
"80-84","80","61","22","4"
"85-89","65","30","15","1"
"90+","65","25","11","3"

"Datenstand 07.01.2021 20:13:06"
