"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","142","149","11","0"
"05-09","135","155","2","0"
"10-14","175","198","8","0"
"15-19","358","329","8","0"
"20-24","567","516","17","0"
"25-29","561","493","24","0"
"30-34","483","544","28","0"
"35-39","446","475","35","0"
"40-44","486","367","26","0"
"45-49","527","382","35","1"
"50-54","568","536","58","2"
"55-59","556","513","71","4"
"60-64","359","370","82","7"
"65-69","207","257","92","15"
"70-74","223","250","129","29"
"75-79","298","261","168","56"
"80-84","538","341","281","110"
"85-89","485","206","185","106"
"90+","514","145","135","117"

"Datenstand 12.02.2021 20:08:26"
