"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","377","405","18","1"
"05-09","389","497","7","0"
"10-14","446","524","12","0"
"15-19","725","766","23","0"
"20-24","1.047","1.058","37","0"
"25-29","992","967","51","0"
"30-34","951","1.067","53","1"
"35-39","850","949","74","0"
"40-44","958","825","70","0"
"45-49","896","801","80","2"
"50-54","1.015","1.046","108","3"
"55-59","982","960","132","12"
"60-64","608","690","133","17"
"65-69","350","412","143","31"
"70-74","374","378","201","58"
"75-79","416","379","252","91"
"80-84","705","453","406","187"
"85-89","594","282","268","174"
"90+","631","177","183","181"

"Datenstand 05.04.2021 20:09:25"
