"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","714","720","40","1"
"05-09","852","908","18","0"
"10-14","884","1.070","21","0"
"15-19","1.301","1.360","39","0"
"20-24","1.644","1.690","84","0"
"25-29","1.512","1.530","95","0"
"30-34","1.461","1.635","114","2"
"35-39","1.388","1.457","127","2"
"40-44","1.427","1.318","141","1"
"45-49","1.370","1.248","155","3"
"50-54","1.487","1.570","202","14"
"55-59","1.417","1.440","243","22"
"60-64","881","1.010","239","25"
"65-69","495","577","223","40"
"70-74","502","505","294","72"
"75-79","526","472","357","121"
"80-84","812","529","506","223"
"85-89","651","318","339","197"
"90+","681","194","236","212"

"Datenstand 25.07.2021 18:53:41"
