"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","478","488","20","1"
"05-09","493","584","9","0"
"10-14","529","640","14","0"
"15-19","872","882","26","0"
"20-24","1.190","1.197","46","0"
"25-29","1.136","1.121","59","0"
"30-34","1.088","1.224","66","1"
"35-39","986","1.094","79","0"
"40-44","1.087","961","87","1"
"45-49","1.001","919","93","2"
"50-54","1.146","1.195","125","3"
"55-59","1.111","1.111","152","15"
"60-64","683","787","145","19"
"65-69","406","461","160","32"
"70-74","403","416","212","60"
"75-79","454","406","281","99"
"80-84","737","480","426","191"
"85-89","614","290","282","176"
"90+","652","182","192","188"

"Datenstand 16.04.2021 18:30:00"
