"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Segeberg","SE","90,57","250","+61","9","+3","1","+1"
"Pinneberg","PI","65,84","207","+104","9","+4","0",""
"Lübeck","HL","60,77","132","+32","4","+1","0",""
"Herzogtum Lauenburg","RZ","64,89","128","+57","0","","0",""
"Stormarn","OD","52,63","128","+81","1","+1","0",""
"Kiel","KI","39,99","99","+39","8","+4","2","+1"
"Rendsburg-Eckernförde","RD","31,53","86","+41","14","+4","0",""
"Ostholstein","OH","39,39","79","+28","19","+7","0",""
"Schleswig-Flensburg","SL","32,50","65","+20","4","","1","+1"
"Flensburg","FL","56,98","51","+20","2","","0",""
"Dithmarschen","HEI","31,53","42","+14","6","+2","0",""
"Nordfriesland","NF","24,17","40","+18","7","+2","0",""
"Plön","PLO","27,98","36","+23","9","+4","0",""
"Steinburg","IZ","24,36","32","+6","1","","0",""
"Neumünster","NMS","20,13","16","+7","1","","0",""
"-"
"Schleswig-Holstein","SH","48,02","1.391","+551","94","+32","4","+3"

"Datenstand 05.01.2021 20:12:37"
