"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","970,13","3.050","+20","318","+10","159","+4"
"Lübeck","HL","791,44","1.719","+28","198","+2","60","+1"
"Segeberg","SE","583,27","1.610","+19","73","","62",""
"Stormarn","OD","601,57","1.463","+16","180","+6","73","+1"
"Herzogtum Lauenburg","RZ","666,11","1.314","+24","105","+5","38",""
"Flensburg","FL","1.225,64","1.097","+27","68","","22",""
"Nordfriesland","NF","659,19","1.091","+11","159","","37",""
"Schleswig-Flensburg","SL","541,43","1.083","+25","51","","16",""
"Ostholstein","OH","526,97","1.057","+15","164","+1","52","+1"
"Kiel","KI","425,37","1.053","+28","108","+3","34",""
"Rendsburg-Eckernförde","RD","350,47","956","+26","95","+1","20","+1"
"Steinburg","IZ","398,94","524","+10","32","+2","5",""
"Neumünster","NMS","578,71","460","+2","41","","7",""
"Dithmarschen","HEI","265,00","353","-1","26","","7",""
"Plön","PLO","259,63","334","+10","56","+1","11",""
"-"
"Schleswig-Holstein","SH","592,53","17.164","+260","1.674","+31","603","+8"

"Datenstand 26.02.2021 20:11:04"
