"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","255","268","13","0"
"05-09","317","340","8","0"
"10-14","451","457","11","0"
"15-19","784","794","24","0"
"20-24","951","1.009","30","0"
"25-29","921","967","43","0"
"30-34","860","861","60","0"
"35-39","856","777","44","2"
"40-44","832","763","49","2"
"45-49","840","805","80","3"
"50-54","1.026","1.029","93","0"
"55-59","891","911","110","9"
"60-64","586","623","113","12"
"65-69","325","378","111","15"
"70-74","309","287","144","35"
"75-79","340","288","186","48"
"80-84","469","329","244","87"
"85-89","351","173","134","72"
"90+","405","99","107","74"

"Datenstand 25.12.2020 20:56:17"
