"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","417","446","18","1"
"05-09","428","528","8","0"
"10-14","475","561","12","0"
"15-19","777","806","25","0"
"20-24","1.095","1.117","39","0"
"25-29","1.057","1.034","56","0"
"30-34","995","1.129","56","1"
"35-39","911","1.007","75","0"
"40-44","1.004","882","78","1"
"45-49","942","849","83","2"
"50-54","1.077","1.106","114","3"
"55-59","1.029","1.019","142","12"
"60-64","638","733","138","19"
"65-69","368","437","152","32"
"70-74","387","392","206","59"
"75-79","430","388","265","95"
"80-84","717","463","416","189"
"85-89","606","285","275","174"
"90+","639","178","188","186"

"Datenstand 09.04.2021 20:30:19"
