"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.008,62","3.171","+19","280","","60",""
"Stormarn","OD","929,70","2.261","+13","115","+1","65","+1"
"Segeberg","SE","714,77","1.973","+17","129","","42","+1"
"Lübeck","HL","794,21","1.725","+22","69","","10",""
"Kiel","KI","691,18","1.711","+15","171","+2","22",""
"Herzogtum Lauenburg","RZ","667,13","1.316","+7","81","","25",""
"Rendsburg-Eckernförde","RD","452,02","1.233","+15","114","+1","17",""
"Dithmarschen","HEI","572,78","763","","81","","14",""
"Nordfriesland","NF","448,32","742","+7","57","","4",""
"Ostholstein","OH","350,98","704","","49","","5",""
"Schleswig-Flensburg","SL","296,96","594","+8","43","+2","7",""
"Neumünster","NMS","720,87","573","+10","35","","6",""
"Steinburg","IZ","408,08","536","+6","46","","4",""
"Plön","PLO","327,25","421","","59","","8",""
"Flensburg","FL","410,04","367","+1","18","","4",""
"-"
"Schleswig-Holstein","SH","624,50","18.090","+140","1.347","+6","293","+2"

"Datenstand 13.12.2020 20:24:41"
